Line	POP_CODE	Caste system	Family	Genus	Species	Colony Tag	Samples	Year	Month	Day	Locality	Country	Type	n_colonies	n_colonies	n_collections	Method	n_eggs_M	n_eggs_F	SR_eggs	n_larvae_M	n_larvae_F	n_workers_M	n_workers_F	SR_workers	n_soldiers_M	n_soldiers_F	SR_soldiers	n_immatures_M	n_immatures_F	SR_immatures	n_forked_neuters_NO_soldiers_M	n_forked_neuters_NO_soldiers_F	SR_forked_neuters_NO_soldiers	n_forked_neuters_WITH_soldiers_M	n_forked_neuters_WITH_soldiers_F	SR_forked_neuters_WITH_soldiers	n_nymphs_M	n_nymphs_F	SR_nymphs	n_linear_immatures_&_soldiers_M	n_linear_immatures_&_soldiers_F	SR_linear_immatures_soldiers	n_neotenics_M	n_neotenics_F	n_neotenicsX_M	n_neotenicsX_F	n_primaries_M	n_primaries_F	n_alates_M	n_alates_F	n_alates_tot	alate_type	SR_alates	n_nymphs+alates_M	n_nymphs+alates_F	Reproductives in the nest	Colony-level_linear_forked	n_males	n_females	n_tot	SR (prop_fem)	References	Comments on reference	Additional comments on data
336	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Yo_10		2014			Yonaguni, Okinawa	Japan	Total	Single collection, single colony	1	1	Field nest									5	1		22	5								96	90		123	96	0.44							73	72	145	Unflown	0.496551724	169	162	NA	Immatures(pseudergates+nymphs)+soldiers+alates	292	258	550	0.469090909	Miyaguni et al. (2021): Supplementary Table S1	immatures are pseudergates	
337	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Yo_11		2014			Yonaguni, Okinawa	Japan	Total	Single collection, single colony	1	1	Field nest									24	17		244	89								258	265		526	371	0.41							103	84	187	Unflown	0.449197861	361	349	PK + PQ	Immatures(pseudergates+nymphs)+soldiers+alates	887	720	1607	0.448039826	Miyaguni et al. (2021): Supplementary Table S1	immatures are pseudergates	
338	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Yo_13		2014			Yonaguni, Okinawa	Japan	Total	Single collection, single colony	1	1	Field nest									10	1		94	80								303	178		407	259	0.39							61	51	112	Unflown	0.455357143	364	229	PK + PQ	Immatures(pseudergates+nymphs)+soldiers+alates	771	488	1259	0.387609214	Miyaguni et al. (2021): Supplementary Table S1	immatures are pseudergates	
339	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Yo_14		2014			Yonaguni, Okinawa	Japan	Total	Single collection, single colony	1	1	Field nest									12	21		379	221								317	250		708	492	0.41							203	187	390	Unflown	0.479487179	520	437	NA	Immatures(pseudergates+nymphs)+soldiers+alates	1228	929	2157	0.430690774	Miyaguni et al. (2021): Supplementary Table S1	immatures are pseudergates	
340	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Yo_15		2014			Yonaguni, Okinawa	Japan	Total	Single collection, single colony	1	1	Field nest									0	3		9	5								50	42		59	50	0.46							27	21	48	Unflown	0.4375	77	63	NA	Immatures(pseudergates+nymphs)+soldiers+alates	136	113	249	0.453815261	Miyaguni et al. (2021): Supplementary Table S1	immatures are pseudergates	
341	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Yo_16		2014			Yonaguni, Okinawa	Japan	Total	Single collection, single colony	1	1	Field nest									NA	NA		NA	NA								0	0		NA	NA								396	363	759	Unflown	0.47826087	396	363	PK + PQ	Alates	396	363	759	0.47826087	Miyaguni et al. (2021): Supplementary Table S1	immatures are pseudergates	
342	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Okinawa_1		2018	May	10	Okinawa-honto	Japan		Single collection, single colony	1	0		52	30	0.365853659																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
343	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Okinawa_2		2018	June	17	Okinawa-honto	Japan		Single collection, single colony	1	0		48	44	0.47826087																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
344	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Okinawa_3		2018	June	17	Okinawa-honto	Japan		Single collection, single colony	1	0		60	33	0.35483871																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
345	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Okinawa_4		2020	June	1	Okinawa-honto	Japan		Single collection, single colony	1	0		61	38	0.383838384																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
346	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Okinawa_5		2020	June	9	Okinawa-honto	Japan		Single collection, single colony	1	0		59	37	0.385416667																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
347	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Okinawa_6		2020	June	2	Okinawa-honto	Japan		Single collection, single colony	1	0		53	32	0.376470588																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
348	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Okinawa_7		2020	June	3	Okinawa-honto	Japan		Single collection, single colony	1	0		54	22	0.289473684																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
349	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Okinawa_8		2020	June	3	Okinawa-honto	Japan		Single collection, single colony	1	0		66	27	0.290322581																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
350	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Okinawa_9		2020	June	4	Okinawa-honto	Japan		Single collection, single colony	1	0		49	43	0.467391304																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
351	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Ishigaki_1		2018	May	23	Ishigaki, Okinawa	Japan		Single collection, single colony	1	0		44	36	0.45																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
352	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Ishigaki_2		2018	May	24	Ishigaki, Okinawa	Japan		Single collection, single colony	1	0		41	53	0.563829787																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
353	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Ishigaki_3		2018	May	24	Ishigaki, Okinawa	Japan		Single collection, single colony	1	0		37	41	0.525641026																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
354	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Ishigaki_4		2020	June	13	Ishigaki, Okinawa	Japan		Single collection, single colony	1	0		48	45	0.483870968																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
355	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Ishigaki_5		2020	June	12	Ishigaki, Okinawa	Japan		Single collection, single colony	1	0		48	47	0.494736842																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
356	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Ishigaki_6		2020	June	12	Ishigaki, Okinawa	Japan		Single collection, single colony	1	0		49	42	0.461538462																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
357	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Ishigaki_7		2020	June	12	Ishigaki, Okinawa	Japan		Single collection, single colony	1	0		33	52	0.611764706																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
358	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Ishigaki_8		2020	June	13	Ishigaki, Okinawa	Japan		Single collection, single colony	1	0		50	44	0.468085106																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
359	K_NeoSug	Linear	Kalotermitidae	Neotermes	sugioi	Ishigaki_9		2020	June	13	Ishigaki, Okinawa	Japan		Single collection, single colony	1	0		38	54	0.586956522																																						None from nymphal line	NA	NA	NA	NA	Agarie et al. (2023): Table 1		
360	K_NeoTec	Linear	Kalotermitidae	Neotermes	tectonae	NA	NA	1927-28			Java	Indonesia	Sample	Several collections, several colonies	++	++																																		NA	NA	NA	Flown	0.5				Alates	NA	NA	NA	0.5	Kalshoven 1930: 125		Both sexes appear simultaneously and in about equal numbers
361	K_NeoTec	Linear	Kalotermitidae	Neotermes	tectonae	NA	1	1933-34			Java	Indonesia	Sample	Possibly several colonies	++?	++?																																		NA	NA	15	Flown, pairing	0.5				Alates	NA	NA	15	0.5	Kalshoven 1957: 8		Both sexes appear simultaneously and in about equal numbers
362	K_NeoTec	Linear	Kalotermitidae	Neotermes	tectonae	NA	NA	NA			NA	NA	NA	NA																																							NA	0.5				Alates	NA	NA	NA	0.5	Roonwal & Chhotani (1989: 88)		
363	K_PosPas	Linear	Kalotermitidae	Postelectrotermes	pasniensis	1	1	1991	March	24	Zabul	Iran	Sample	Single collection, possibly several colonies	1	++?																						417	212	0.337042925	417	212	0.34										0					Immatures(nymphs)	417	212	629	0.337042925	Ravan & Akhtar (1999): Table 1	Nymphs emerge from the ground in early morning	
364	K_PosPas	Linear	Kalotermitidae	Postelectrotermes	pasniensis	2	1	1991	March	25	Zabul	Iran	Sample	Single collection, possibly several colonies	1	++?																						363	174	0.324022346	363	174	0.32										0					Immatures(nymphs)	363	174	537	0.324022346	Ravan & Akhtar (1999): Table 1	Nymphs emerge from the ground in early morning	
365	K_PosPas	Linear	Kalotermitidae	Postelectrotermes	pasniensis	3	1	1991	March	26	Zabul	Iran	Sample	Single collection, possibly several colonies	1	++?																						636	384	0.376470588	636	384	0.38										0					Immatures(nymphs)	636	384	1020	0.376470588	Ravan & Akhtar (1999): Table 1	Nymphs emerge from the ground in early morning	
366	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	1	1965				USA	Total	Single collection, single colony	1	1	NA																																	21	31	52	Flown	0.6			NA	Alates	21	31	52	0.6	W. L. Nutting, pers. comm. In Jones et al. (1988)		
367	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	2	1965				USA	Total	Single collection, single colony	1	1	NA																																	7	8	15	Flown	0.53			NA	Alates	7	8	15	0.53	W. L. Nutting, pers. comm. In Jones et al. (1988)		
368	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	3	1965				USA	Total	Single collection, single colony	1	1	NA																																	30	23	53	Flown	0.43			NA	Alates	30	23	53	0.43	W. L. Nutting, pers. comm. In Jones et al. (1988)		
369	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	4	1965				USA	Total	Single collection, single colony	1	1	NA																																	7	8	15	Flown	0.53			NA	Alates	7	8	15	0.53	W. L. Nutting, pers. comm. In Jones et al. (1988)		
370	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	5	1965				USA	Total	Single collection, single colony	1	1	NA																																	15	11	26	Flown	0.42			NA	Alates	15	11	26	0.42	W. L. Nutting, pers. comm. In Jones et al. (1988)		
371	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	6	1965				USA	Total	Single collection, single colony	1	1	NA																																	15	15	30	Flown	0.5			NA	Alates	15	15	30	0.5	W. L. Nutting, pers. comm. In Jones et al. (1988)		
372	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	7	1965				USA	Total	Single collection, single colony	1	1	NA																																	19	15	34	Flown	0.44			NA	Alates	19	15	34	0.44	W. L. Nutting, pers. comm. In Jones et al. (1988)		
373	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	8	1965				USA	Total	Single collection, single colony	1	1	NA																																	25	16	41	Flown	0.39			NA	Alates	25	16	41	0.39	W. L. Nutting, pers. comm. In Jones et al. (1988)		
374	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	9	1965				USA	Total	Single collection, single colony	1	1	NA																																	6	7	13	Flown	0.54			NA	Alates	6	7	13	0.54	W. L. Nutting, pers. comm. In Jones et al. (1988)		
375	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	10	1965				USA	Total	Single collection, single colony	1	1	NA																																	18	19	37	Flown	0.51			NA	Alates	18	19	37	0.51	W. L. Nutting, pers. comm. In Jones et al. (1988)		
376	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	11	1965				USA	Total	Single collection, single colony	1	1	NA																																	13	15	28	Flown	0.54			NA	Alates	13	15	28	0.54	W. L. Nutting, pers. comm. In Jones et al. (1988)		
377	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	12	1965				USA	Total	Single collection, single colony	1	1	NA																																	21	25	46	Flown	0.54			NA	Alates	21	25	46	0.54	W. L. Nutting, pers. comm. In Jones et al. (1988)		
378	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	13	1965				USA	Total	Single collection, single colony	1	1	NA																																	35	33	68	Flown	0.49			NA	Alates	35	33	68	0.49	W. L. Nutting, pers. comm. In Jones et al. (1988)		
379	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	14	1965				USA	Total	Single collection, single colony	1	1	NA																																	23	12	35	Flown	0.34			NA	Alates	23	12	35	0.34	W. L. Nutting, pers. comm. In Jones et al. (1988)		
380	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	15	1965				USA	Total	Single collection, single colony	1	1	NA																																	15	33	48	Flown	0.69			NA	Alates	15	33	48	0.69	W. L. Nutting, pers. comm. In Jones et al. (1988)		
381	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	16	1965				USA	Total	Single collection, single colony	1	1	NA																																	43	30	73	Flown	0.41			NA	Alates	43	30	73	0.41	W. L. Nutting, pers. comm. In Jones et al. (1988)		
382	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	17	1965				USA	Total	Single collection, single colony	1	1	NA																																	24	20	44	Flown	0.45			NA	Alates	24	20	44	0.45	W. L. Nutting, pers. comm. In Jones et al. (1988)		
383	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	18	1965				USA	Total	Single collection, single colony	1	1	NA																																	12	12	24	Flown	0.5			NA	Alates	12	12	24	0.5	W. L. Nutting, pers. comm. In Jones et al. (1988)		
384	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	19	1965				USA	Total	Single collection, single colony	1	1	NA																																	34	45	79	Flown	0.57			NA	Alates	34	45	79	0.57	W. L. Nutting, pers. comm. In Jones et al. (1988)		
385	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	20	1965				USA	Total	Single collection, single colony	1	1	NA																																	7	5	12	Flown	0.42			NA	Alates	7	5	12	0.42	W. L. Nutting, pers. comm. In Jones et al. (1988)		
386	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	21	1965				USA	Total	Single collection, single colony	1	1	NA																																	14	21	35	Flown	0.6			NA	Alates	14	21	35	0.6	W. L. Nutting, pers. comm. In Jones et al. (1988)		
387	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	22	1965				USA	Total	Single collection, single colony	1	1	NA																																	97	89	186	Flown	0.48			NA	Alates	97	89	186	0.48	W. L. Nutting, pers. comm. In Jones et al. (1988)		
388	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	23	1965				USA	Total	Single collection, single colony	1	1	NA																																	117	82	199	Flown	0.41			NA	Alates	117	82	199	0.41	W. L. Nutting, pers. comm. In Jones et al. (1988)		
389	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	24	1965				USA	Total	Single collection, single colony	1	1	NA																																	53	41	94	Flown	0.44			NA	Alates	53	41	94	0.44	W. L. Nutting, pers. comm. In Jones et al. (1988)		
390	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	25	1965				USA	Total	Single collection, single colony	1	1	NA																																	15	15	30	Flown	0.5			NA	Alates	15	15	30	0.5	W. L. Nutting, pers. comm. In Jones et al. (1988)		
391	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	26	1965				USA	Total	Single collection, single colony	1	1	NA																																	66	77	143	Flown	0.54			NA	Alates	66	77	143	0.54	W. L. Nutting, pers. comm. In Jones et al. (1988)		
392	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	27	1965				USA	Total	Single collection, single colony	1	1	NA																																	16	17	33	Flown	0.52			NA	Alates	16	17	33	0.52	W. L. Nutting, pers. comm. In Jones et al. (1988)		
393	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	28	1965				USA	Total	Single collection, single colony	1	1	NA																																	38	42	80	Flown	0.52			NA	Alates	38	42	80	0.52	W. L. Nutting, pers. comm. In Jones et al. (1988)		
394	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	29	1965				USA	Total	Single collection, single colony	1	1	NA																																	14	18	32	Flown	0.56			NA	Alates	14	18	32	0.56	W. L. Nutting, pers. comm. In Jones et al. (1988)		
395	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	1	30	1965				USA	Total	Single collection, single colony	1	1	NA																																	7	8	15	Flown	0.53			NA	Alates	7	8	15	0.53	W. L. Nutting, pers. comm. In Jones et al. (1988)		
396	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	A	1	1970			Tucson, Arizona	USA	Total	Several collections, single colony	1	+++	Screen cage																																	43	36	79	Flown	0.455696203			NA	Alates	43	36	79	0.455696203	Carr 1972: 19		
397	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	B+C	1	1970			Tucson, Arizona	USA	Total	Several collections, several colonies	2	+++	Screen cage																																	102	114	216	Flown	0.527777778			NA	Alates	102	114	216	0.527777778	Carr 1972: 19		
398	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	A	1	1971			Tucson, Arizona	USA	Total	Several collections, single colony	1	+++	Screen cage																																	35	49	84	Flown	0.583333333			NA	Alates	35	49	84	0.583333333	Carr 1972: 19		
399	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	B+C	1	1971			Tucson, Arizona	USA	Total	Several collections, several colonies	2	+++	Screen cage																																	94	123	217	Flown	0.566820276			NA	Alates	94	123	217	0.566820276	Carr 1972: 19		
400	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	NA	1-14	1979				USA	Sample	Several collections, several colonies	14	+++																																		13	9	22	Flown	0.41			NA	Alates	13	9	22	0.41	W. L. Nutting, pers. comm. In Jones et al. (1988)		
401	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	3	1	1979			Tucson, Arizona	USA	Total	Several collections, single colony	1	5	Saran Cage				58	67				8	3		5	2								292	291		363	363	0.50							91	79	170	Flown	0.464705882			Primaries + Neotenics	Immatures(larvae+pseudergates+nymphs)+soldiers	363	363	726	0.5	"Jones 1980; Jones et al. 1981: Table 3, p. 232-233"	immatures are pseudergates	Colony #3 in Jones et al. (1981) = Colony #3 in Jones et al. (1988), with n(I+S) = 726. However, in Table 1: 30 days of flight with 91 males and 79 females, but 81 alates in (2)
402	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	4	1	1979			Tucson, Arizona	USA	Total	Several collections, single colony	1	15	Saran Cage				83	87				7	9		0	0								244	272		334	368	0.52							155	160	315	Flown	0.507936508			Primaries + Neotenics	Immatures(larvae+nymphs)+soldiers	334	368	702	0.524216524	"Jones 1980; Jones et al. 1981: Table 3, p. 232-233"	immatures are pseudergates	Colony #4 in Jones et al. (1981) = Colony #4 in Jones et al. (1988), with n(I+S) = 702. However in Table 1: 30 days of flight with 155 males and 160 females, but 242 alates in (2)
403	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	5	1-7	1979	August		Tucson, Arizona	USA	Total	Several collections, single colony	1	7	Saran Cage				104	101				2	3		6	8								89	57		201	169	0.46							9	6	15	Flown	0.4			Neotenics	Immatures(larvae+pseudergates+nymphs)+soldiers	201	169	370	0.456756757	"Jones et al. 1981: Table 1, p. 225; Table 3, p. 232-233"	immatures are pseudergates	Colony #2 in Jones et al. (1981) = Colony #5 in Jones et al. (1988), with n(I+S) = 370
404	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	6	1	1979			Tucson, Arizona	USA	Total	Single collection, single colony	1	1					50	52				4	2		8	5								6	9		68	68	0.50							2	2	4	Flown	0.5			PQ + PK	Immatures(larvae+pseudergates+nymphs)+soldiers	68	68	136	0.5	Jones et al. 1981: Table 3, p. 232-233	immatures are pseudergates	Colony #5 in Jones et al. (1981) = Colony #6 in Jones et al. (1988), with n(I+S) = 136
405	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	7	1	1979			Tucson, Arizona	USA	Total	Single collection, single colony	1	1					5	7				4	3		8	7								81	77		98	94	0.49							3	3	6	Flown	0.5			Neotenics	Immatures(larvae+pseudergates+nymphs)+soldiers	98	94	192	0.489583333	Jones et al. 1981: Table 3, p. 232-233	immatures are pseudergates	Colony #7 in Jones et al. (1981) = Colony #5 in Jones et al. (1988), with n(I+S) = 192
406	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	8	1	1980			Tucson, Arizona	USA	Total	Single collection, single colony	1	1					40	34				0	2		26	29								2	1		68	66	0.49							0	0	0	0				PQ + PK	Immatures(larvae+pseudergates+nymphs)+soldiers	68	66	134	0.492537313	Jones et al. 1981: Table 3, p. 232-233	immatures are pseudergates	Colony #6 in Jones et al. (1981) = Colony #8 in Jones et al. (1988), with n(I+S) = 134
407	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	9	1	1980			Tucson, Arizona	USA	Total	Single collection, single colony	1	1					336	334				21	20		163	139								272	293		792	786	0.50							0	0	0	0				Primaries + Neotenics	Immatures(larvae+pseudergates+nymphs)+soldiers	792	786	1578	0.498098859	Jones et al. 1981: Table 3, p. 232-233	immatures are pseudergates	Colony #8 in Jones et al. (1981) = Colony #9 in Jones et al. (1988), with n(I+S) = 1578
408	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	10	1	1982				USA	Total	Single collection, single colony	1	1																																		9	9	17	Unflown	0.5				Alates	9	9	17	0.5	S. C. Jones, unpubl. In Jones et al. (1988)		
409	K_PteOcc	Linear	Kalotermitidae	Pterotermes	occidentis	11	1	1982				USA	Total	Single collection, single colony	1	1																																		4	9	13	Unflown	0.69				Alates	4	9	13	0.69	S. C. Jones, unpubl. In Jones et al. (1988)		
410	S_GloOcu	Linear	Serritermitidae	Glossotermes	oculatus	7	1	2007	January	26	Petit Saut	French Guiana	Sample	Single collection, single colony	1	1					62	6				62	0		166	3								31	92		321	101	0.24	6	10								0					Immatures(larvae+pseudergates+nymphs)+soldiers+neotenics	327	111	438	0.253424658	Bourguignon et al. 2009		
411	S_GloOcu	Linear	Serritermitidae	Glossotermes	oculatus	131 (1st)	1	2008	February	2	Petit Saut	French Guiana	Sample	Single collection, single colony	1	1	1st opening on field				70	2				22	0		73	0								73	94		238	96	0.29	14	3					121	73	194	Unflown	0.37628866				Immatures(larvae+pseudergates+nymphs)+soldiers+neotenics+alates	373	172	545	0.31559633	Bourguignon et al. 2009		
412	S_GloOcu	Linear	Serritermitidae	Glossotermes	oculatus	131 (2nd)	1	2008	October	22	Petit Saut	French Guiana	Sample	Single collection, single colony	1	1	2nd opening on field												54	57								19	0		73	57	0.44										0					Immatures(pseudergates+nymphs)	73	57	130	0.438461538	Bourguignon et al. 2009		
413	S_GloOcu	Linear	Serritermitidae	Glossotermes	oculatus	132 (1st)	1	2008	February	2	Petit Saut	French Guiana	Sample	Single collection, single colony	1	1	1st opening on field				30	3				37	0		37	0											104	3	0.03	33	11								0					Immatures(larvae+pseudergates)+soldiers+neotenics+alates	137	14	151	0.092715232	Bourguignon et al. 2009		
414	S_GloOcu	Linear	Serritermitidae	Glossotermes	oculatus	132 (2nd)	1	2008	October	15	Petit Saut	French Guiana	Sample	Single collection, single colony	1	1	2nd opening on field				86	2				22	0		157	3											265	5	0.02	49	12								0					Immatures(larvae+pseudergates)+soldiers+neotenics+alates	314	17	331	0.051359517	Bourguignon et al. 2009		
415	R_SchLam	Bifurcated	Rhinotermitidae	Schedorhinotermes	lamanianus	1	NA	?				Republic of the Congo (Brazzaville)	Sample	Single collection, single colony	1	1																																		26	212	238	Unflown	0.89				Alates	26	212	238	0.89	Renoux 1976: 406		
416	R_SchLam	Bifurcated	Rhinotermitidae	Schedorhinotermes	lamanianus	2	NA	?				Republic of the Congo (Brazzaville)	Sample	Single collection, single colony	1	1																																		26	96	122	Unflown	0.79				Alates	26	96	122	0.79	Renoux 1976: 406		
417	R_SchLam	Bifurcated	Rhinotermitidae	Schedorhinotermes	lamanianus	3	NA	?				Republic of the Congo (Brazzaville)	Sample	Single collection, single colony	1	1																																		47	137	184	Unflown	0.744565217				Alates	47	137	184	0.744565217	Renoux 1976: 406		
418	R_SchLam	Bifurcated	Rhinotermitidae	Schedorhinotermes	lamanianus	4	NA	?				Republic of the Congo (Brazzaville)	Sample	Single collection, single colony	1	1																																		69	137	206	Unflown	0.665048544				Alates	69	137	206	0.665048544	Renoux 1976: 406		
419	R_SchLam	Bifurcated	Rhinotermitidae	Schedorhinotermes	lamanianus	5	NA	?				Republic of the Congo (Brazzaville)	Sample	Single collection, single colony	1	1																																		284	328	612	Unflown	0.535947712				Alates	284	328	612	0.535947712	Renoux 1976: 406		
420	R_SchLam	Bifurcated	Rhinotermitidae	Schedorhinotermes	lamanianus	6	NA	?				Republic of the Congo (Brazzaville)	Sample	Single collection, single colony	1	1																																		54	49	103	Unflown	0.48				Alates	54	49	103	0.48	Renoux 1976: 406		
421	R_SchLam	Bifurcated	Rhinotermitidae	Schedorhinotermes	lamanianus	NA	1	1970	April	13		Republic of the Congo (Brazzaville)	Sample	Possibly several colonies	++?	1																																		39	75	114	Flown	0.66				Alates	39	75	114	0.66	Renoux 1976: 406		
422	R_SchLam	Bifurcated	Rhinotermitidae	Schedorhinotermes	lamanianus	NA	1	1972	November	13		Republic of the Congo (Brazzaville)	Sample	Possibly several colonies	++?	1																																		178	186	364	Flown	0.51				Alates	178	186	364	0.51	Renoux 1976: 406		
423	T_TerPla	Linear	Termitogetonidae	Termitogeton	nr. planus	202	1	1995	November-December		PK 43Ð54 km from Nabire, on Nabire-Mapia road, Irian Jaya	Indonesia	Sample	Single collection,possibly single colony	1	1					28	21	49	48	0.494845361	23	46	0.666666667										59	85	0.590277778	159	200	0.557103064							51	30	81	Unflown	0.37037037			Neotenics	Immatures(larvae+pseudergates+nymphs)+soldiers+alates	210	230	440	0.522727273	Parmentier & Roisin (2003)	Raw data obtained from the authors	
424	T_TerPla	Linear	Termitogetonidae	Termitogeton	nr. planus	214	1	1995	November-December		PK 43Ð54 km from Nabire, on Nabire-Mapia road, Irian Jaya	Indonesia	Sample	Single collection,possibly single colony	1	1					61	51	58	60	0.508474576	24	34	0.586206897													143	145	0.503472222										0				PQ	Immatures(larvae+pseudergates)+soldiers	143	145	288	0.503472222	Parmentier & Roisin (2003)	Raw data obtained from the authors	
425	T_TerPla	Linear	Termitogetonidae	Termitogeton	nr. planus	215	1	1995	November-December		PK 43Ð54 km from Nabire, on Nabire-Mapia road, Irian Jaya	Indonesia	Sample	Single collection,possibly single colony	1	1					3	0	59	55	0.48245614	43	76	0.638655462										114	110	0.491071429	219	241	0.523913043										0				NA	Immatures(larvae+pseudergates+nymphs)+soldiers	219	241	460	0.523913043	Parmentier & Roisin (2003)	Raw data obtained from the authors	
426	H_Cop1	Bifurcated	Heterotermitidae	Coptotermes	sp. A	Site A	1	1994-1995			Jo‹o Pessoa, Para’ba	Brazil	Sample	Several collections, possibly several colonies	++?	++	Light trap																																	5	45	50	Flown	0.9				Alates	5	45	50	0.9	Medeiros et al. 1999: Table 5	Additional data (not taken here) available in published paper: n too low ( below 10)	
